
=== Flow conditions ===
-- ue [m/s] = 869.1
-- pe [Pa] = 697.066
-- Te [K] = 55.2
-- Tw [K] = 97.5
-- Me = 5.83573
-- Taw [K] = 392.18
-- rhoe [kg/m^3] = 0.044
-- rhow [kg/m^3] = 0.0249108
-- delta [m] = 0.00124
-- Ny = 1000
-- mu_w [m^2/s] = 6.73838e-06
-- mu_e [m^2/s] = 3.60372e-06

=== Boundary layer values ===
-- Left:   delta = 0.00121917	 u_tau = 34.5228	 Re_tau = 155.598	 Cf = 0.00178664	 x = 0.050107
-- Center: delta = 0.00124	 u_tau = 34.4741	 Re_tau = 158.033	 Cf = 0.00178161	 x = 0.051107
-- Right:  delta = 0.00126077	 u_tau = 34.4265	 Re_tau = 160.457	 Cf = 0.00177668	 x = 0.052107

=== Left state ===
-- PI = 2.24693
-- T[1] = 97.5	T[Ny] = 55.2
-- rho[1] = 0.0249108	rho[Ny] = 0.044

=== Center state ===
-- PI = 2.24312
-- T[1] = 97.5	T[Ny] = 55.2
-- rho[1] = 0.0249108	rho[Ny] = 0.044

=== Right state ===
-- PI = 2.23942
-- T[1] = 97.5	T[Ny] = 55.2
-- rho[1] = 0.0249108	rho[Ny] = 0.044

-- Beginning interpolation
238.425	0.0487228
241.12	0.0494492
243.847	0.0501874
246.603	0.0509378
249.385	0.0517004
252.196	0.0524755
255.042	0.0532632
257.93	0.0540639
260.851	0.0548777
263.805	0.0557048
266.792	0.0565455
269.813	0.0574
272.861	0.0582684
275.937	0.0591511
279.051	0.0600481
282.207	0.0609599
285.398	0.0618866
288.623	0.0628285
291.882	0.0637858
295.176	0.0647587
298.504	0.0657476
301.859	0.0667525
305.244	0.0677739
308.676	0.0688119
312.143	0.0698668
315.645	0.0709389
319.181	0.0720284
322.752	0.0731357
326.358	0.0742609
329.996	0.0754044
333.66	0.0765664
337.362	0.0777471
341.103	0.0789469
344.878	0.0801661
348.686	0.081405
352.528	0.0826638
356.402	0.0839427
360.309	0.0852422
364.241	0.0865625
368.201	0.0879038
372.2	0.0892664
376.23	0.0906508
380.29	0.092057
384.38	0.0934856
388.498	0.0949366
392.644	0.0964105
396.812	0.0979076
400.997	0.0994279
405.219	0.100972
409.465	0.10254
413.736	0.104133
418.029	0.10575
422.343	0.107391
426.678	0.109058
431.013	0.110751
435.368	0.112469
439.751	0.114213
444.148	0.115983
448.558	0.11778
452.981	0.119604
457.406	0.121455
461.817	0.123333
466.242	0.125238
470.685	0.127172
475.13	0.129133
479.575	0.131123
484.009	0.133141
488.411	0.135187
492.8	0.137263
497.211	0.139367
501.609	0.141501
505.992	0.143664
510.326	0.145857
514.608	0.148079
518.888	0.150331
523.165	0.152613
527.413	0.154925
531.584	0.157266
535.68	0.159638
539.75	0.16204
543.82	0.164472
547.815	0.166934
551.708	0.169426
555.521	0.171948
559.31	0.174499
563.043	0.177081
566.649	0.179692
570.147	0.182333
573.577	0.185003
576.95	0.187702
580.171	0.190429
583.269	0.193185
586.27	0.195969
589.172	0.198781
591.902	0.20162
594.508	0.204486
596.965	0.207378
599.28	0.210296
601.441	0.213239
603.376	0.216206
605.211	0.219198
606.867	0.222212
608.255	0.225249
609.496	0.228307
610.567	0.231385
611.325	0.234483
611.926	0.2376
612.306	0.240734
612.349	0.243884
612.283	0.24705
611.877	0.250229
611.147	0.253421
610.263	0.256624
608.99	0.259836
607.476	0.263056
605.655	0.266283
603.452	0.269514
601.042	0.272749
598.199	0.275984
595.082	0.279219
591.578	0.28245
587.709	0.285677
583.5	0.288896
578.86	0.292106
573.903	0.295305
568.477	0.298489
562.73	0.301657
556.509	0.304805
549.932	0.307932
542.872	0.311034
535.433	0.314109
527.491	0.317154
519.172	0.320165
510.387	0.323141
501.05	0.326076
491.454	0.32897
481.192	0.331818
470.593	0.334617
459.539	0.337364
447.853	0.340054
435.868	0.342686
423.37	0.345255
410.74	0.34776
399.389	0.350207
390.028	0.35261
382.841	0.35498
348.305	0.357147
290.578	0.358964
233.578	0.360432
178.385	0.361558
123.165	0.36234
67.6428	0.362772
11.8158	0.362847
-0	0.362847
-0	0.362847
-0	0.362847
-0	0.362847
-0	0.362847
-0	0.362847
-0	0.362847
-0	0.362847
-0	0.362847
-0	0.362847
